epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1079.25,1.10011,0.58987,0.92889,0.94342,0.99029,0.97792,0.64288,1.18935,0.62792,1.30316,0.000241338,0.000241338,0.000241338
89,1083.75,0.94843,0.58098,0.95844,0.94342,0.99029,0.97792,0.64288,1.18935,0.62792,1.30316,0.000226688,0.000226688,0.000226688
90,1088.31,0.99713,0.59301,1.00473,0.94342,0.99029,0.97792,0.64288,1.18935,0.62792,1.30316,0.000211642,0.000211642,0.000211642
91,1121.48,1.00108,0.66369,1.06503,0.94342,0.99029,0.97792,0.64288,1.18935,0.62792,1.30316,0.0001962,0.0001962,0.0001962
92,1124.45,1.03743,0.68529,1.09156,0.98847,0.98058,0.98647,0.66125,1.16768,0.60993,1.30286,0.000180362,0.000180362,0.000180362
93,1127.59,1.01527,0.62452,0.99185,0.98847,0.98058,0.98647,0.66125,1.16768,0.60993,1.30286,0.000164128,0.000164128,0.000164128
94,1131.39,1.05523,0.64938,0.95917,0.98847,0.98058,0.98647,0.66125,1.16768,0.60993,1.30286,0.000147498,0.000147498,0.000147498
95,1135.25,0.95789,0.64339,0.98349,0.98847,0.98058,0.98647,0.66125,1.16768,0.60993,1.30286,0.000130472,0.000130472,0.000130472
96,1139.26,0.9745,0.61567,0.99878,0.99026,0.98661,0.98646,0.66381,1.15927,0.59996,1.31018,0.00011305,0.00011305,0.00011305
97,1142.45,0.91478,0.60229,0.94735,0.99026,0.98661,0.98646,0.66381,1.15927,0.59996,1.31018,9.5232e-05,9.5232e-05,9.5232e-05
98,1146.44,0.94442,0.62139,0.99351,0.99026,0.98661,0.98646,0.66381,1.15927,0.59996,1.31018,7.7018e-05,7.7018e-05,7.7018e-05
99,1150.56,0.9874,0.6383,0.96202,0.99026,0.98661,0.98646,0.66381,1.15927,0.59996,1.31018,5.8408e-05,5.8408e-05,5.8408e-05
100,1155.1,1.02318,0.62971,1.00193,0.98616,0.98058,0.98618,0.6609,1.15162,0.59649,1.31903,3.9402e-05,3.9402e-05,3.9402e-05
